INFO  - 2021-02-15 15:32:14.348; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-02-15 15:32:14.376; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-02-15 15:32:32.897; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-02-15 15:32:32.922; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-02-15 15:32:36.892; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
INFO  - 2021-02-15 15:32:43.890; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 2:Enter Username
INFO  - 2021-02-15 15:32:43.891; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 3:Enter Password
INFO  - 2021-02-15 15:33:03.731; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 6:End Test: CP_474_onePaymentOnNewOpportunity
INFO  - 2021-02-27 12:50:17.009; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-02-27 12:50:17.042; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-02-27 12:50:22.236; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
INFO  - 2021-02-27 12:50:29.783; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 2:Enter Username
INFO  - 2021-02-27 12:50:29.784; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 3:Enter Password
INFO  - 2021-02-27 12:51:26.979; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 6:End Test: CP_474_onePaymentOnNewOpportunity
INFO  - 2021-02-27 21:28:55.098; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-02-27 21:28:55.140; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-02-27 21:29:01.075; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
INFO  - 2021-02-27 21:29:09.009; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 2:Enter Username
INFO  - 2021-02-27 21:29:09.009; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 3:Enter Password
INFO  - 2021-02-27 21:29:09.011; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 6:End Test: CP_474_onePaymentOnNewOpportunity
INFO  - 2021-02-27 21:29:09.015; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
INFO  - 2021-02-27 21:29:11.914; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 4:Create new opportunity
INFO  - 2021-02-27 21:29:21.896; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 6:End Test: CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-01 12:43:37.739; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-01 12:43:37.794; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-04 13:03:47.022; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-04 13:03:47.077; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 12:30:04.209; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 12:30:04.254; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 12:30:09.368; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-10 12:30:13.596; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 2:Enter Username
INFO  - 2021-03-10 12:30:13.596; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 3:Enter Password
INFO  - 2021-03-10 12:30:13.598; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 6:End Test: CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-10 12:30:13.600; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-10 12:30:36.854; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 4:Create new opportunity
INFO  - 2021-03-10 12:30:57.175; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 5:Set the payment as paid
INFO  - 2021-03-10 12:30:57.176; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 6:End Test: CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-10 12:44:00.504; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 12:44:00.535; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 12:44:18.203; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 12:44:18.231; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 12:44:22.106; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-10 12:44:27.637; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 2:Enter Username
INFO  - 2021-03-10 12:44:27.637; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 3:Enter Password
INFO  - 2021-03-10 12:44:27.638; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 4:End Test: CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-10 12:44:27.640; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 1:Start Test:CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-10 12:44:47.150; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 2:Create new opportunity
INFO  - 2021-03-10 12:45:07.834; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 3:Set the payment as paid
INFO  - 2021-03-10 12:45:07.837; org.SalesForceTestAutomation.tests.CP_474_onePaymentOnNewOpportunity; Step 4:End Test: CP_474_onePaymentOnNewOpportunity
INFO  - 2021-03-10 12:51:26.537; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 12:51:26.564; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 12:51:39.186; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 12:51:39.213; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 12:51:43.093; org.SalesForceTestAutomation.tests.CP_475_onePaidOnTwoPayments; Step 1:Start Test:CP_475_onePaidOnTwoPayments
INFO  - 2021-03-10 12:51:47.608; org.SalesForceTestAutomation.tests.CP_475_onePaidOnTwoPayments; Step 2:Enter Username
INFO  - 2021-03-10 12:51:47.610; org.SalesForceTestAutomation.tests.CP_475_onePaidOnTwoPayments; Step 3:Enter Password
INFO  - 2021-03-10 12:51:47.611; org.SalesForceTestAutomation.tests.CP_475_onePaidOnTwoPayments; Step 4:End Test: CP_475_onePaidOnTwoPayments
INFO  - 2021-03-10 12:51:47.614; org.SalesForceTestAutomation.tests.CP_475_onePaidOnTwoPayments; Step 1:Start Test:CP_475_onePaidOnTwoPayments
INFO  - 2021-03-10 12:52:08.792; org.SalesForceTestAutomation.tests.CP_475_onePaidOnTwoPayments; Step 2:Create new opportunity
INFO  - 2021-03-10 12:52:36.111; org.SalesForceTestAutomation.tests.CP_475_onePaidOnTwoPayments; Step 3:Set the payment as paid
INFO  - 2021-03-10 12:52:36.113; org.SalesForceTestAutomation.tests.CP_475_onePaidOnTwoPayments; Step 4:End Test: CP_475_onePaidOnTwoPayments
INFO  - 2021-03-10 12:57:43.959; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 12:57:43.984; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 12:57:47.954; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 1:Start Test:CP_476_twoPaymentsBothPaid
INFO  - 2021-03-10 12:57:53.203; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 2:Enter Username
INFO  - 2021-03-10 12:57:53.204; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 3:Enter Password
INFO  - 2021-03-10 12:57:53.206; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 4:End Test: CP_476_twoPaymentsBothPaid
INFO  - 2021-03-10 12:57:53.208; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 1:Start Test:CP_476_twoPaymentsBothPaid
INFO  - 2021-03-10 12:58:46.260; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 4:End Test: CP_476_twoPaymentsBothPaid
INFO  - 2021-03-10 12:58:58.422; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 12:58:58.451; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 12:59:02.511; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 1:Start Test:CP_476_twoPaymentsBothPaid
INFO  - 2021-03-10 12:59:07.135; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 2:Enter Username
INFO  - 2021-03-10 12:59:07.135; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 3:Enter Password
INFO  - 2021-03-10 12:59:07.137; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 4:End Test: CP_476_twoPaymentsBothPaid
INFO  - 2021-03-10 12:59:07.139; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 1:Start Test:CP_476_twoPaymentsBothPaid
INFO  - 2021-03-10 12:59:26.294; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 2:Create new opportunity
INFO  - 2021-03-10 13:00:02.013; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 3:Set the payment as paid
INFO  - 2021-03-10 13:00:02.014; org.SalesForceTestAutomation.tests.CP_476_twoPaymentsBothPaid; Step 4:End Test: CP_476_twoPaymentsBothPaid
INFO  - 2021-03-10 13:26:16.065; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:26:16.090; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 13:26:20.138; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 1:Start Test: CP_647_AbilitytoRelateOriginalPaymentwithaNegativeAmount
INFO  - 2021-03-10 13:26:42.714; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 7:End Test: CP_647_AbilitytoRelateOriginalPaymentwithaNegativeAmount
INFO  - 2021-03-10 13:26:42.715; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 1:Start Test: CP_647_AbilitytoRelateOriginalPaymentwithaNegativeAmount
INFO  - 2021-03-10 13:27:16.679; org.SalesForceTestAutomation.tests.CP_647_abilitytoRelateOriginalPaymentwithaNegativeAmount; Step 7:End Test: CP_647_AbilitytoRelateOriginalPaymentwithaNegativeAmount
INFO  - 2021-03-10 13:27:23.944; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:27:23.969; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
INFO  - 2021-03-10 13:29:28.376; io.github.bonigarcia.wdm.WebDriverManager; Using chromedriver 88.0.4324.96 (resolved driver for Chrome 88)
INFO  - 2021-03-10 13:29:28.402; io.github.bonigarcia.wdm.WebDriverManager; Exporting webdriver.chrome.driver as C:\Users\dsathavara\.cache\selenium\chromedriver\win32\88.0.4324.96\chromedriver.exe
